ghistoryBits,pcIndexBits,trainingThresholdBits,weightsBits,size,avg_mis_prediction_rate
18,4,12,4,1520,22.85516666666666666666
18,4,12,6,2128,22.71500000000000000000
18,4,12,8,2736,22.01600000000000000000
18,4,12,10,3344,15.26466666666666666666
18,4,12,12,3952,12.15800000000000000000
18,4,14,4,1520,22.88816666666666666666
18,4,14,6,2128,22.84033333333333333333
18,4,14,8,2736,22.73266666666666666666
18,4,14,10,3344,22.16716666666666666666
18,4,14,12,3952,16.77700000000000000000
18,4,16,4,1520,22.88816666666666666666
18,4,16,6,2128,22.84033333333333333333
18,4,16,8,2736,22.73266666666666666666
18,4,16,10,3344,22.46666666666666666666
18,4,16,12,3952,21.89533333333333333333
18,6,4,4,6080,6.08933333333333333333
18,6,4,6,8512,4.88583333333333333333
18,6,4,8,10944,4.82200000000000000000
18,6,4,10,13376,4.82200000000000000000
18,6,4,12,15808,4.82200000000000000000
18,6,6,4,6080,9.56983333333333333333
18,6,6,6,8512,5.92300000000000000000
18,6,6,8,10944,5.10116666666666666666
18,6,6,10,13376,5.08200000000000000000
18,6,6,12,15808,5.08200000000000000000
18,6,8,4,6080,16.15783333333333333333
18,6,8,6,8512,9.83183333333333333333
18,6,8,8,10944,6.37516666666666666666
18,6,8,10,13376,5.75200000000000000000
18,6,8,12,15808,5.75050000000000000000
18,6,10,4,6080,17.43516666666666666666
18,6,10,6,8512,16.56716666666666666666
18,6,10,8,10944,10.38483333333333333333
18,6,10,10,13376,7.33066666666666666666
18,6,10,12,15808,6.96666666666666666666
18,6,12,4,6080,17.86083333333333333333
18,6,12,6,8512,17.59416666666666666666
18,6,12,8,10944,16.96400000000000000000
18,6,12,10,13376,11.42133333333333333333
18,6,12,12,15808,9.38083333333333333333
18,6,14,4,6080,17.88816666666666666666
18,6,14,6,8512,17.68816666666666666666
18,6,14,8,10944,17.40633333333333333333
18,6,14,10,13376,17.01483333333333333333
18,6,14,12,15808,13.12400000000000000000
18,6,16,4,6080,17.88816666666666666666
18,6,16,6,8512,17.68816666666666666666
18,6,16,8,10944,17.40633333333333333333
18,6,16,10,13376,17.18583333333333333333
18,6,16,12,15808,17.04316666666666666666
18,8,4,4,24320,4.74716666666666666666
18,8,4,6,34048,3.74250000000000000000
18,8,4,8,43776,3.70200000000000000000
18,8,4,10,53504,3.70200000000000000000
18,8,4,12,63232,3.70200000000000000000
18,8,6,4,24320,7.09250000000000000000
18,8,6,6,34048,4.51566666666666666666
18,8,6,8,43776,3.83866666666666666666
18,8,6,10,53504,3.82850000000000000000
18,8,6,12,63232,3.82850000000000000000
18,8,8,4,24320,12.24000000000000000000
18,8,8,6,34048,7.25683333333333333333
18,8,8,8,43776,4.86250000000000000000
18,8,8,10,53504,4.43050000000000000000
18,8,8,12,63232,4.42616666666666666666
18,8,10,4,24320,13.05516666666666666666
18,8,10,6,34048,12.54383333333333333333
18,8,10,8,43776,7.82266666666666666666
18,8,10,10,53504,5.80100000000000000000
18,8,10,12,63232,5.48850000000000000000
18,8,12,4,24320,13.12066666666666666666
18,8,12,6,34048,12.91983333333333333333
18,8,12,8,43776,12.64650000000000000000
18,8,12,10,53504,8.82516666666666666666
18,8,12,12,63232,7.48383333333333333333
18,8,14,4,24320,13.12066666666666666666
18,8,14,6,34048,12.92483333333333333333
18,8,14,8,43776,12.76583333333333333333
18,8,14,10,53504,12.52633333333333333333
18,8,14,12,63232,9.80500000000000000000
18,8,16,4,24320,13.12066666666666666666
18,8,16,6,34048,12.92483333333333333333
18,8,16,8,43776,12.76583333333333333333
18,8,16,10,53504,12.53416666666666666666
18,8,16,12,63232,12.42833333333333333333
20,4,4,4,1680,9.40450000000000000000
20,4,4,6,2352,7.96100000000000000000
20,4,4,8,3024,7.91016666666666666666
20,4,4,10,3696,7.91016666666666666666
20,4,4,12,4368,7.91016666666666666666
20,4,6,4,1680,13.39416666666666666666
20,4,6,6,2352,8.95650000000000000000
20,4,6,8,3024,8.05100000000000000000
20,4,6,10,3696,8.03133333333333333333
20,4,6,12,4368,8.03133333333333333333
20,4,8,4,1680,21.25750000000000000000
20,4,8,6,2352,13.42150000000000000000
20,4,8,8,3024,9.50500000000000000000
20,4,8,10,3696,8.84283333333333333333
20,4,8,12,4368,8.83316666666666666666
20,4,10,4,1680,22.29183333333333333333
20,4,10,6,2352,21.64116666666666666666
20,4,10,8,3024,13.86033333333333333333
20,4,10,10,3696,10.32650000000000000000
20,4,10,12,4368,9.88216666666666666666
20,4,12,4,1680,22.84866666666666666666
20,4,12,6,2352,22.68950000000000000000
20,4,12,8,3024,21.96716666666666666666
20,4,12,10,3696,14.48050000000000000000
20,4,12,12,4368,11.77683333333333333333
20,4,14,4,1680,22.88466666666666666666
20,4,14,6,2352,22.83633333333333333333
20,4,14,8,3024,22.72250000000000000000
20,4,14,10,3696,22.10400000000000000000
20,4,14,12,4368,15.79150000000000000000
20,4,16,4,1680,22.88466666666666666666
20,4,16,6,2352,22.83633333333333333333
20,4,16,8,3024,22.72250000000000000000
20,4,16,10,3696,22.41800000000000000000
20,4,16,12,4368,21.57866666666666666666
20,6,4,4,6720,5.94166666666666666666
20,6,4,6,9408,4.75283333333333333333
20,6,4,8,12096,4.67266666666666666666
20,6,4,10,14784,4.67266666666666666666
20,6,4,12,17472,4.67266666666666666666
20,6,6,4,6720,8.91700000000000000000
20,6,6,6,9408,5.63266666666666666666
20,6,6,8,12096,4.93283333333333333333
20,6,6,10,14784,4.90616666666666666666
20,6,6,12,17472,4.90616666666666666666
20,6,8,4,6720,16.06516666666666666666
20,6,8,6,9408,9.01800000000000000000
20,6,8,8,12096,6.10550000000000000000
20,6,8,10,14784,5.58883333333333333333
20,6,8,12,17472,5.58883333333333333333
20,6,10,4,6720,17.41016666666666666666
20,6,10,6,9408,16.46883333333333333333
20,6,10,8,12096,9.63866666666666666666
20,6,10,10,14784,7.05883333333333333333
20,6,10,12,17472,6.73200000000000000000
20,6,12,4,6720,17.84683333333333333333
20,6,12,6,9408,17.54950000000000000000
20,6,12,8,12096,16.86266666666666666666
20,6,12,10,14784,10.84883333333333333333
20,6,12,12,17472,9.10833333333333333333
20,6,14,4,6720,17.87633333333333333333
20,6,14,6,9408,17.65683333333333333333
20,6,14,8,12096,17.35666666666666666666
20,6,14,10,14784,16.90466666666666666666
20,6,14,12,17472,12.91333333333333333333
20,6,16,4,6720,17.87633333333333333333
20,6,16,6,9408,17.65683333333333333333
20,6,16,8,12096,17.35666666666666666666
20,6,16,10,14784,17.09700000000000000000
20,6,16,12,17472,16.99450000000000000000
20,8,4,4,26880,4.54100000000000000000
20,8,4,6,37632,3.63000000000000000000
20,8,4,8,48384,3.58850000000000000000
20,8,4,10,59136,3.58850000000000000000
20,8,6,4,26880,6.60566666666666666666
20,8,6,6,37632,4.22150000000000000000
20,8,6,8,48384,3.67600000000000000000
20,8,6,10,59136,3.66800000000000000000
20,8,8,4,26880,12.16416666666666666666
20,8,8,6,37632,6.65100000000000000000
20,8,8,8,48384,4.62883333333333333333
20,8,8,10,59136,4.23566666666666666666
20,8,10,4,26880,13.02700000000000000000
20,8,10,6,37632,12.49516666666666666666
20,8,10,8,48384,7.27500000000000000000
20,8,10,10,59136,5.54800000000000000000
20,8,12,4,26880,13.09866666666666666666
20,8,12,6,37632,12.89983333333333333333
20,8,12,8,48384,12.62883333333333333333
20,8,12,10,59136,8.36333333333333333333
20,8,14,4,26880,13.09866666666666666666
20,8,14,6,37632,12.90700000000000000000
20,8,14,8,48384,12.76366666666666666666
20,8,14,10,59136,12.54350000000000000000
20,8,16,4,26880,13.09866666666666666666
20,8,16,6,37632,12.90700000000000000000
20,8,16,8,48384,12.76366666666666666666
20,8,16,10,59136,12.55583333333333333333
22,4,4,4,1840,9.19683333333333333333
22,4,4,6,2576,7.78200000000000000000
22,4,4,8,3312,7.71716666666666666666
22,4,4,10,4048,7.71716666666666666666
22,4,4,12,4784,7.71716666666666666666
22,4,6,4,1840,12.92950000000000000000
22,4,6,6,2576,8.55316666666666666666
22,4,6,8,3312,7.81883333333333333333
22,4,6,10,4048,7.79683333333333333333
22,4,6,12,4784,7.79683333333333333333
22,4,8,4,1840,21.19750000000000000000
22,4,8,6,2576,13.03616666666666666666
22,4,8,8,3312,9.17733333333333333333
22,4,8,10,4048,8.63783333333333333333
22,4,8,12,4784,8.63083333333333333333
22,4,10,4,1840,22.26600000000000000000
22,4,10,6,2576,21.59166666666666666666
22,4,10,8,3312,13.46600000000000000000
22,4,10,10,4048,10.04583333333333333333
22,4,10,12,4784,9.70650000000000000000
22,4,12,4,1840,22.84316666666666666666
22,4,12,6,2576,22.66200000000000000000
22,4,12,8,3312,21.94500000000000000000
22,4,12,10,4048,14.18866666666666666666
22,4,12,12,4784,11.50900000000000000000
22,4,14,4,1840,22.88200000000000000000
22,4,14,6,2576,22.83400000000000000000
22,4,14,8,3312,22.72383333333333333333
22,4,14,10,4048,22.11650000000000000000
22,4,14,12,4784,15.45800000000000000000
22,4,16,4,1840,22.88200000000000000000
22,4,16,6,2576,22.83400000000000000000
22,4,16,8,3312,22.72383333333333333333
22,4,16,10,4048,22.42700000000000000000
22,4,16,12,4784,21.60716666666666666666
22,6,4,4,7360,5.70350000000000000000
22,6,4,6,10304,4.62150000000000000000
22,6,4,8,13248,4.52233333333333333333
22,6,4,10,16192,4.52233333333333333333
22,6,4,12,19136,4.52233333333333333333
22,6,6,4,7360,8.42516666666666666666
22,6,6,6,10304,5.41466666666666666666
22,6,6,8,13248,4.76983333333333333333
22,6,6,10,16192,4.74683333333333333333
22,6,6,12,19136,4.74683333333333333333
22,6,8,4,7360,15.97116666666666666666
22,6,8,6,10304,8.54800000000000000000
22,6,8,8,13248,5.94250000000000000000
22,6,8,10,16192,5.44933333333333333333
22,6,8,12,19136,5.44916666666666666666
22,6,10,4,7360,17.37666666666666666666
22,6,10,6,10304,16.39033333333333333333
22,6,10,8,13248,9.21316666666666666666
22,6,10,10,16192,6.88733333333333333333
22,6,10,12,19136,6.58566666666666666666
22,6,12,4,7360,17.82633333333333333333
22,6,12,6,10304,17.50400000000000000000
22,6,12,8,13248,16.77183333333333333333
22,6,12,10,16192,10.46300000000000000000
22,6,12,12,19136,8.83800000000000000000
22,6,14,4,7360,17.85783333333333333333
22,6,14,6,10304,17.62366666666666666666
22,6,14,8,13248,17.31133333333333333333
22,6,14,10,16192,16.85566666666666666666
22,6,14,12,19136,12.55400000000000000000
22,6,16,4,7360,17.85783333333333333333
22,6,16,6,10304,17.62366666666666666666
22,6,16,8,13248,17.31133333333333333333
22,6,16,10,16192,17.07966666666666666666
22,6,16,12,19136,16.87183333333333333333
22,8,4,4,29440,4.41983333333333333333
22,8,4,6,41216,3.50566666666666666666
22,8,4,8,52992,3.44366666666666666666
