trace_ghistoryBits,pcIndexBits,trainingThresholdBits,weightsBits,size,mis_prediction_rate
mm_1.bz2,16,6,8,10,11968,5.001
mm_2.bz2,16,6,8,10,11968,14.909
fp_1.bz2,16,6,8,12,14144,0.982
fp_2.bz2,16,6,8,12,14144,1.192
int_1.bz2,16,6,8,12,14144,13.440
int_2.bz2,16,6,8,12,14144,0.641
mm_1.bz2,16,6,8,12,14144,5.001
mm_2.bz2,16,6,8,12,14144,14.909
fp_1.bz2,16,6,10,4,5440,1.863
fp_2.bz2,16,6,10,4,5440,21.642
int_1.bz2,16,6,10,4,5440,27.514
int_2.bz2,16,6,10,4,5440,1.181
mm_1.bz2,16,6,10,4,5440,23.451
mm_2.bz2,16,6,10,4,5440,29.098
fp_1.bz2,16,6,10,6,7616,1.863
fp_2.bz2,16,6,10,6,7616,21.642
int_1.bz2,16,6,10,6,7616,27.151
int_2.bz2,16,6,10,6,7616,1.167
mm_1.bz2,16,6,10,6,7616,23.172
mm_2.bz2,16,6,10,6,7616,24.985
fp_1.bz2,16,6,10,8,9792,1.707
fp_2.bz2,16,6,10,8,9792,8.446
int_1.bz2,16,6,10,8,9792,19.861
int_2.bz2,16,6,10,8,9792,0.877
mm_1.bz2,16,6,10,8,9792,13.209
mm_2.bz2,16,6,10,8,9792,21.104
fp_1.bz2,16,6,10,10,11968,1.323
fp_2.bz2,16,6,10,10,11968,2.380
int_1.bz2,16,6,10,10,11968,15.478
int_2.bz2,16,6,10,10,11968,0.821
mm_1.bz2,16,6,10,10,11968,7.246
mm_2.bz2,16,6,10,10,11968,18.264
fp_1.bz2,16,6,10,12,14144,1.323
fp_2.bz2,16,6,10,12,14144,1.637
int_1.bz2,16,6,10,12,14144,14.913
int_2.bz2,16,6,10,12,14144,0.821
mm_1.bz2,16,6,10,12,14144,6.433
mm_2.bz2,16,6,10,12,14144,18.224
fp_1.bz2,16,6,12,4,5440,1.863
fp_2.bz2,16,6,12,4,5440,21.642
int_1.bz2,16,6,12,4,5440,27.514
int_2.bz2,16,6,12,4,5440,1.181
mm_1.bz2,16,6,12,4,5440,23.451
mm_2.bz2,16,6,12,4,5440,31.580
fp_1.bz2,16,6,12,6,7616,1.863
fp_2.bz2,16,6,12,6,7616,21.642
int_1.bz2,16,6,12,6,7616,27.331
int_2.bz2,16,6,12,6,7616,1.174
mm_1.bz2,16,6,12,6,7616,23.172
mm_2.bz2,16,6,12,6,7616,30.599
fp_1.bz2,16,6,12,8,9792,1.782
fp_2.bz2,16,6,12,8,9792,21.642
int_1.bz2,16,6,12,8,9792,26.898
int_2.bz2,16,6,12,8,9792,1.155
mm_1.bz2,16,6,12,8,9792,22.575
mm_2.bz2,16,6,12,8,9792,28.204
fp_1.bz2,16,6,12,10,11968,1.739
fp_2.bz2,16,6,12,10,11968,8.749
int_1.bz2,16,6,12,10,11968,20.938
int_2.bz2,16,6,12,10,11968,0.970
mm_1.bz2,16,6,12,10,11968,14.297
mm_2.bz2,16,6,12,10,11968,24.880
fp_1.bz2,16,6,12,12,14144,1.690
fp_2.bz2,16,6,12,12,14144,3.260
int_1.bz2,16,6,12,12,14144,18.000
int_2.bz2,16,6,12,12,14144,0.967
mm_1.bz2,16,6,12,12,14144,10.386
mm_2.bz2,16,6,12,12,14144,23.375
fp_1.bz2,16,6,14,4,5440,1.863
fp_2.bz2,16,6,14,4,5440,21.642
int_1.bz2,16,6,14,4,5440,27.514
int_2.bz2,16,6,14,4,5440,1.181
mm_1.bz2,16,6,14,4,5440,23.451
mm_2.bz2,16,6,14,4,5440,31.732
fp_1.bz2,16,6,14,6,7616,1.863
fp_2.bz2,16,6,14,6,7616,21.642
int_1.bz2,16,6,14,6,7616,27.331
int_2.bz2,16,6,14,6,7616,1.174
mm_1.bz2,16,6,14,6,7616,23.172
mm_2.bz2,16,6,14,6,7616,31.096
fp_1.bz2,16,6,14,8,9792,1.782
fp_2.bz2,16,6,14,8,9792,21.642
int_1.bz2,16,6,14,8,9792,26.899
int_2.bz2,16,6,14,8,9792,1.155
mm_1.bz2,16,6,14,8,9792,22.575
mm_2.bz2,16,6,14,8,9792,30.654
fp_1.bz2,16,6,14,10,11968,1.782
fp_2.bz2,16,6,14,10,11968,21.273
int_1.bz2,16,6,14,10,11968,26.851
int_2.bz2,16,6,14,10,11968,1.143
mm_1.bz2,16,6,14,10,11968,21.729
mm_2.bz2,16,6,14,10,11968,29.887
fp_1.bz2,16,6,14,12,14144,1.782
fp_2.bz2,16,6,14,12,14144,9.582
int_1.bz2,16,6,14,12,14144,23.795
int_2.bz2,16,6,14,12,14144,1.126
mm_1.bz2,16,6,14,12,14144,16.884
mm_2.bz2,16,6,14,12,14144,28.463
fp_1.bz2,16,6,16,4,5440,1.863
fp_2.bz2,16,6,16,4,5440,21.642
